manufacturer,model,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage_int,mileage,engine_cc,max_power_bhp,torque,seats
Chevrolet,Enjoy,Chevrolet Enjoy,2013,300000,70000,Diesel,Individual,Manual,First Owner,18,18.2 kmpl,1248,74,172.5Nm@ 1750rpm,7
Maruti,Wagon R,Maruti Wagon R,2009,220000,120000,Petrol,Individual,Manual,First Owner,19,18.9 kmpl,1061,67,84Nm@ 3500rpm,5
Maruti,Omni,Maruti Omni,2018,254999,25000,Petrol,Individual,Manual,First Owner,17,16.8 kmpl,796,34,59Nm@ 2500rpm,8
Maruti,Vitara Brezza,Maruti Vitara Brezza,2017,670000,70000,Diesel,Individual,Manual,First Owner,24,24.3 kmpl,1248,89,200Nm@ 1750rpm,5
Maruti,Omni,Maruti Omni,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14,14.0 kmpl,796,35,6.1kgm@ 3000rpm,5
Hyundai,i20,Hyundai i20,2018,730000,2388,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1197,82,114.7Nm@ 4000rpm,5
Maruti,Vitara Brezza,Maruti Vitara Brezza,2017,650000,16200,Diesel,Individual,Manual,First Owner,24,24.3 kmpl,1248,89,200Nm@ 1750rpm,5
Maruti,Alto 800,Maruti Alto 800,2019,330000,10000,CNG,Individual,Manual,Second Owner,33,33.44 kmpl,796,40,60Nm@ 3500rpm,4
Maruti,Alto 800,Maruti Alto 800,2019,366000,15000,Petrol,Individual,Manual,First Owner,24,23.95 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,Verna,Hyundai Verna,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17,17.0 kmpl,1591,121,151Nm@ 4850rpm,5
Datsun,GO,Datsun GO,2016,150000,42000,Petrol,Individual,Manual,First Owner,21,20.63 kmpl,1198,67,104Nm@ 4000rpm,5
Tata,Safari,Tata Safari,2011,425000,60000,Diesel,Individual,Manual,Second Owner,14,13.93 kmpl,2179,138,320Nm@ 1700-2700rpm,7
Jeep,Compass,Jeep Compass,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16,16.0 kmpl,1368,161,250Nm@ 1750-2500rpm,5
Honda,City,Honda City,2018,925000,28900,Petrol,Dealer,Manual,First Owner,18,17.8 kmpl,1497,117,145Nm@ 4600rpm,5
Honda,City,Honda City,2013,425000,86300,Petrol,Dealer,Manual,First Owner,17,16.8 kmpl,1497,116,146Nm@ 4800rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,19,18.5 kmpl,1197,83,115Nm@ 4000rpm,5
Maruti,Vitara Brezza,Maruti Vitara Brezza,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24,24.3 kmpl,1248,89,200Nm@ 1750rpm,5
Maruti,Alto 800,Maruti Alto 800,2018,390000,10300,Petrol,Dealer,Manual,First Owner,24,23.95 kmpl,998,67,90Nm@ 3500rpm,5
Toyota,Fortuner,Toyota Fortuner,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,13,12.55 kmpl,2982,169,343Nm@ 1400-3400rpm,7
Toyota,Innova,Toyota Innova,2013,700000,99000,Diesel,Dealer,Manual,First Owner,13,12.99 kmpl,2494,100,200Nm@ 1400-3400rpm,7
Mercedes-Benz,B Class,Mercedes-Benz B Class,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,15,14.8 kmpl,2143,121,200Nm@ 1250-4000rpm,5
Honda,Amaze,Honda Amaze,2015,425000,49800,Diesel,Dealer,Manual,First Owner,25,24.7 kmpl,1498,99,200Nm@ 1750rpm,5
Honda,City,Honda City,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26,26.0 kmpl,1498,99,200Nm@ 1750rpm,5
Maruti,Ciaz,Maruti Ciaz,2018,850000,64000,Petrol,Dealer,Manual,First Owner,21,20.65 kmpl,1462,103,138Nm@ 4400rpm,5
Honda,Jazz,Honda Jazz,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27,27.3 kmpl,1498,99,200Nm@ 1750rpm,5
Toyota,Innova Crysta,Toyota Innova Crysta,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11,11.36 kmpl,2755,172,360Nm@ 1200-3400rpm,7
Toyota,Innova,Toyota Innova,2016,950000,99000,Diesel,Dealer,Manual,First Owner,13,12.99 kmpl,2494,101,200Nm@ 1200-3600rpm,7
Toyota,Corolla Altis,Toyota Corolla Altis,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14,14.28 kmpl,1798,138,173Nm@ 4000rpm,5
Mercedes-Benz,New C-Class,Mercedes-Benz New C-Class,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,15,14.84 kmpl,2143,170,400Nm@ 1400-2800rpm,5
Tata,Manza,Tata Manza,2011,265000,120000,Diesel,Individual,Manual,First Owner,21,21.12 kmpl,1248,89,200Nm@ 1750-3000rpm,5
Hyundai,i10,Hyundai i10,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20,20.36 kmpl,1197,79,111.7Nm@ 4000rpm,5
Hyundai,i20 Asta,Hyundai i20 Asta,2013,425000,60000,Diesel,Individual,Manual,First Owner,21,21.27 kmpl,1396,89,219.6Nm@ 1500-2750rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2015,630000,147000,Diesel,Individual,Manual,Second Owner,27,26.59 kmpl,1248,74,190Nm@ 2000rpm,5
Ford,Figo,Ford Figo,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18,18.16 kmpl,1196,87,112Nm@ 4000rpm,5
Maruti,Beno,Maruti Beno,2019,650000,30000,Petrol,Individual,Manual,First Owner,21,21.4 kmpl,1197,83,115Nm@ 4000rpm,5
Volkswagen,Ameo,Volkswagen Ameo,2016,540000,40000,Diesel,Individual,Manual,First Owner,22,22.0 kmpl,1498,108,250Nm@ 1500-3000rpm,5
Honda,City,Honda City,2015,630000,135000,Diesel,Individual,Manual,First Owner,25,25.1 kmpl,1498,99,200Nm@ 1750rpm,5
Maruti,Wagon R,Maruti Wagon R,2018,448000,30000,Petrol,Individual,Automatic,First Owner,21,20.51 kmpl,998,67,90Nm@ 3500rpm,5
Volkswagen,Ameo,Volkswagen Ameo,2017,500000,80000,Diesel,Individual,Manual,First Owner,22,21.66 kmpl,1498,109,250Nm@ 1500-3000rpm,5
Maruti,Vitara Brezza,Maruti Vitara Brezza,2016,745000,70000,Diesel,Individual,Manual,First Owner,24,24.3 kmpl,1248,89,200Nm@ 1750rpm,5
Maruti,Vitara Brezza,Maruti Vitara Brezza,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24,24.3 kmpl,1248,89,200Nm@ 1750rpm,5
Hyundai,i10,Hyundai i10,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20,20.36 kmpl,1197,79,111.7Nm@ 4000rpm,5
Maruti,Swift,Maruti Swift,2016,630000,70000,Diesel,Individual,Manual,First Owner,25,25.2 kmpl,1248,74,190Nm@ 2000rpm,5
Toyota,Fortuner,Toyota Fortuner,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,13,12.55 kmpl,2982,169,343Nm@ 1400-3400rpm,7
Maruti,Swift,Maruti Swift,2013,450000,120000,Diesel,Individual,Manual,Second Owner,23,22.9 kmpl,1248,74,190Nm@ 2000rpm,5
Maruti,Ertiga,Maruti Ertiga,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16,16.02 kmpl,1373,94,130Nm@ 4000rpm,7
Volkswagen,Vento,Volkswagen Vento,2013,450000,170000,Diesel,Individual,Manual,First Owner,21,20.54 kmpl,1598,104,250Nm@ 1500-2500rpm,5
Toyota,Innova,Toyota Innova,2016,1200000,140000,Diesel,Individual,Manual,First Owner,13,12.99 kmpl,2494,101,200Nm@ 1200-3600rpm,8
Ford,EcoSport,Ford EcoSport,2015,610000,90000,Diesel,Individual,Manual,First Owner,23,22.77 kmpl,1498,99,205Nm@ 1750-3250rpm,5
BMW,X1,BMW X1,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,16,15.71 kmpl,1998,189,280Nm@ 1350-4600rpm,5
Maruti,Celerio,Maruti Celerio,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23,23.1 kmpl,998,67,90Nm@ 3500rpm,5
Datsun,GO,Datsun GO,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19,19.02 kmpl,1198,67,104Nm@ 4000rpm,5
Maruti,Alto 800,Maruti Alto 800,2016,315000,32000,Petrol,Dealer,Manual,First Owner,25,24.7 kmpl,796,47,69Nm@ 3500rpm,5
Maruti,Alto 800,Maruti Alto 800,2016,275000,38000,Petrol,Dealer,Manual,First Owner,25,24.7 kmpl,796,47,69Nm@ 3500rpm,5
Hyundai,i10,Hyundai i10,2012,290000,28000,Petrol,Dealer,Manual,First Owner,20,19.81 kmpl,1086,68,99.04Nm@ 4500rpm,5
Maruti,Omni,Maruti Omni,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14,14.0 kmpl,796,35,6.1kgm@ 3000rpm,5
Maruti,Wagon R,Maruti Wagon R,2010,225000,44000,CNG,Dealer,Manual,First Owner,26,26.2 kmpl,998,58,77Nm@ 3500rpm,5
Volkswagen,Polo,Volkswagen Polo,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16,16.47 kmpl,1198,74,110Nm@ 3750rpm,5
Hyundai,i10,Hyundai i10,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,20,19.81 kmpl,1086,68,99.04Nm@ 4500rpm,5
Volkswagen,Vento,Volkswagen Vento,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15,15.04 kmpl,1598,104,153Nm@ 3800rpm,5
Maruti,Zen Estilo,Maruti Zen Estilo,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18,18.2 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,i20 Asta,Hyundai i20 Asta,2013,525000,61500,Petrol,Dealer,Manual,First Owner,19,18.5 kmpl,1197,83,113.7Nm@ 4000rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2016,600000,150000,Diesel,Individual,Manual,First Owner,27,26.59 kmpl,1248,74,190Nm@ 2000rpm,5
Hyundai,Xcent,Hyundai Xcent,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19,19.1 kmpl,1197,82,114Nm@ 4000rpm,5
Hyundai,i20,Hyundai i20,2017,725000,110000,Diesel,Individual,Manual,First Owner,23,22.54 kmpl,1396,89,219.7Nm@ 1500-2750rpm,5
Maruti,Wagon R,Maruti Wagon R,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,22,21.79 kmpl,998,67,90Nm@ 3500rpm,5
Tata,Manza,Tata Manza,2010,200000,100000,Diesel,Individual,Manual,Second Owner,19,18.8 kmpl,1248,90,200Nm@ 1750-3000rpm,5
Maruti,Swift,Maruti Swift,2019,615000,10000,Petrol,Individual,Manual,First Owner,21,21.21 kmpl,1197,82,113Nm@ 4200rpm,5
Maruti,Eeco,Maruti Eeco,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15,15.37 kmpl,1196,73,101Nm@ 3000rpm,7
Maruti,Beno,Maruti Beno,2018,610000,35000,Petrol,Individual,Manual,First Owner,21,21.4 kmpl,1197,83,115Nm@ 4000rpm,5
Mahindra,Scorpio,Mahindra Scorpio,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,12,11.79 kmpl,2179,120,290Nm@ 1800-2800rpm,8
Ford,Freestyle,Ford Freestyle,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19,19.0 kmpl,1194,95,120Nm@ 4250rpm,5
Hyundai,Verna,Hyundai Verna,2017,866000,37800,Petrol,Individual,Manual,First Owner,17,17.0 kmpl,1591,121,151Nm@ 4850rpm,5
Tata,Indica Vista,Tata Indica Vista,2010,300000,48000,Petrol,Individual,Manual,First Owner,16,15.8 kmpl,1172,65,96 Nm at 3000 rpm,5
Mahindra,XUV 500,Mahindra XUV 500,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15,15.1 kmpl,2179,155,360Nm@ 1750-2800rpm,7
Tata,Indigo,Tata Indigo,2016,375000,100000,Diesel,Individual,Manual,First Owner,19,19.09 kmpl,1405,69,135Nm@ 2500rpm,5
Hyundai,Verna,Hyundai Verna,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22,22.32 kmpl,1582,126,259.8Nm@ 1900-2750rpm,5
Hyundai,i20 Magna,Hyundai i20 Magna,2013,451999,69000,Diesel,Individual,Manual,First Owner,22,21.9 kmpl,1396,89,219.6Nm@ 1500-2750rpm,5
Toyota,Corolla Altis,Toyota Corolla Altis,2009,300000,100000,Petrol,Individual,Manual,Second Owner,15,14.53 kmpl,1798,138,173Nm@ 4000rpm,5
Maruti,Celerio,Maruti Celerio,2020,475000,13000,Petrol,Individual,Manual,First Owner,22,21.63 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Vitara Brezza,Maruti Vitara Brezza,2016,780000,60000,Diesel,Individual,Manual,First Owner,24,24.3 kmpl,1248,89,200Nm@ 1750rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2017,595000,40000,Petrol,Individual,Manual,First Owner,21,20.85 kmpl,1197,83,115Nm@ 4000rpm,5
Maruti,Wagon R,Maruti Wagon R,2017,440000,35000,Petrol,Individual,Manual,First Owner,21,20.51 kmpl,998,67,90Nm@ 3500rpm,5
Nissan,Terrano,Nissan Terrano,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20,20.45 kmpl,1461,84,200Nm@ 1900rpm,5
Hyundai,Creta,Hyundai Creta,2016,1140000,50000,Diesel,Individual,Manual,First Owner,20,19.67 kmpl,1582,126,259.9Nm@ 1900-2750rpm,5
Ford,EcoSport,Ford EcoSport,2017,850000,76139,Diesel,Individual,Manual,First Owner,23,23.0 kmpl,1498,99,205Nm@ 1750-3250rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19,19.3 kmpl,1248,74,190Nm@ 2000rpm,5
Renault,KWID,Renault KWID,2018,350000,25000,Petrol,Individual,Manual,First Owner,23,23.01 kmpl,999,67,91Nm@ 4250rpm,5
Maruti,Celerio,Maruti Celerio,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23,23.1 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Ertiga,Maruti Ertiga,2013,625000,90000,Diesel,Individual,Manual,Second Owner,21,20.77 kmpl,1248,89,200Nm@ 1750rpm,7
Hyundai,Santro Xing,Hyundai Santro Xing,2009,135000,80000,Petrol,Individual,Manual,Second Owner,18,17.92 kmpl,1086,62,96.1Nm@ 3000rpm,5
Maruti,Ertiga,Maruti Ertiga,2015,700000,110000,Diesel,Individual,Manual,Second Owner,21,20.77 kmpl,1248,89,200Nm@ 1750rpm,7
Honda,Amaze,Honda Amaze,2019,690000,1303,Petrol,Dealer,Manual,First Owner,18,17.8 kmpl,1198,87,109Nm@ 4500rpm,5
Audi,Q5,Audi Q5,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17,17.01 kmpl,1968,188,400nm@ 1750-3000rpm,5
Jaguar,XF,Jaguar XF,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19,19.33 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Mercedes-Benz,S-Class,Mercedes-Benz S-Class,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,14,13.5 kmpl,2987,255,620Nm@ 1600-2400rpm,5
BMW,5 Series,BMW 5 Series,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22,22.48 kmpl,1995,188,400Nm@ 1750-2500rpm,5
BMW,X4 M Sport X xDrive20d,BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,17,16.78 kmpl,1995,190,400Nm@ 1750-2500rpm,5
Mercedes-Benz,E-Class,Mercedes-Benz E-Class,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15,15.0 kmpl,2143,204,500Nm@ 1600-1800rpm,5
Honda,City,Honda City,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18,18.0 kmpl,1497,118,145Nm@ 4600rpm,5
Toyota,Corolla Altis,Toyota Corolla Altis,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14,14.28 kmpl,1798,138,173Nm@ 4000rpm,5
Volvo,XC40 D4,Volvo XC40 D4,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18,18.0 kmpl,1969,190,400Nm,5
Audi,Q7,Audi Q7,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12,12.07 kmpl,2967,241,550Nm@ 1750-2750rpm,7
Maruti,Ciaz,Maruti Ciaz,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26,26.21 kmpl,1248,89,200Nm@ 1750rpm,5
Mercedes-Benz,S-Class,Mercedes-Benz S-Class,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,14,13.5 kmpl,2987,282,490Nm@ 1600rpm,5
BMW,5 Series,BMW 5 Series,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,11,10.8 kmpl,2497,150,250 Nm at 2750 rpm,5
Jaguar,XF,Jaguar XF,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,14,13.6 kmpl,1999,177,430Nm@ 1750-2500rpm,5
Tata,Nexon Revotron,Tata Nexon Revotron,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17,17.0 kmpl,1198,109,170Nm@ 1750-4000rpm,5
Volkswagen,Vento,Volkswagen Vento,2011,375000,49000,Petrol,Individual,Manual,First Owner,15,15.04 kmpl,1598,104,153Nm@ 3800rpm,5
Skoda,Rapid,Skoda Rapid,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14,14.3 kmpl,1598,104,153Nm@ 3800rpm,5
Maruti,Ertiga,Maruti Ertiga,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16,16.02 kmpl,1373,94,130Nm@ 4000rpm,7
Mercedes-Benz,New C-Class,Mercedes-Benz New C-Class,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,15,14.74 kmpl,1991,181,300Nm@ 1200-1400rpm,5
Honda,City,Honda City,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,16,15.6 kmpl,1497,116,146Nm@ 4800rpm,5
Toyota,Glanza,Toyota Glanza,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,20,19.56 kmpl,1197,82,113Nm@ 4200rpm,5
Maruti,Alto 800,Maruti Alto 800,2011,175000,11000,Petrol,Dealer,Manual,First Owner,24,23.95 kmpl,998,67,90Nm@ 3500rpm,5
Maruti,Swift,Maruti Swift,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21,21.21 kmpl,1197,82,113Nm@ 4200rpm,5
Toyota,Innova Crysta,Toyota Innova Crysta,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11,11.36 kmpl,2755,172,360Nm@ 1200-3400rpm,7
Tata,Nexon Revotron,Tata Nexon Revotron,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,22,21.5 kmpl,1497,109,260Nm@ 1500-2750rpm,5
BMW,3,BMW 3,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,23,22.69 kmpl,1995,190,400Nm@ 1750-2500rpm,5
Toyota,Camry Hybrid,Toyota Camry Hybrid,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19,19.16 kmpl,2494,158,213Nm@ 4500rpm,5
BMW,5 Series,BMW 5 Series,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18,18.12 kmpl,1995,190,400Nm@ 1750-2500rpm,5
Toyota,Camry Hybrid,Toyota Camry Hybrid,2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12,12.1 kmpl,2362,165,224Nm@ 4000rpm,5
Maruti,Ertiga,Maruti Ertiga,2016,850000,20000,Petrol,Individual,Manual,First Owner,18,17.5 kmpl,1373,91,130Nm@ 4000rpm,7
Volkswagen,Vento,Volkswagen Vento,2011,300000,100000,Diesel,Individual,Manual,Second Owner,21,20.54 kmpl,1598,104,250Nm@ 1500-2500rpm,5
Ford,Figo,Ford Figo,2018,575000,9500,Petrol,Individual,Manual,First Owner,18,18.16 kmpl,1196,87,112Nm@ 4000rpm,5
Ford,Figo,Ford Figo,2011,160000,120000,Diesel,Individual,Manual,First Owner,20,20.0 kmpl,1399,68,160Nm@ 2000rpm,5
Maruti,Swift,Maruti Swift,2015,515000,36600,Petrol,Individual,Manual,First Owner,20,20.4 kmpl,1197,82,113Nm@ 4200rpm,5
Maruti,Wagon R,Maruti Wagon R,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,21,20.51 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,i20 Magna,Hyundai i20 Magna,2016,550000,14000,Petrol,Individual,Manual,Second Owner,19,18.6 kmpl,1197,82,114.7Nm@ 4000rpm,5
Maruti,Ritz,Maruti Ritz,2010,220000,120000,Diesel,Individual,Manual,First Owner,21,21.1 kmpl,1248,74,113Nm@ 4500rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2015,425000,70000,Petrol,Individual,Manual,First Owner,19,18.9 kmpl,1197,82,114Nm@ 4000rpm,5
Volkswagen,Ameo,Volkswagen Ameo,2019,480000,13000,Petrol,Individual,Manual,First Owner,19,19.44 kmpl,999,75,95Nm@ 3000-4300rpm,5
Hyundai,Grand i10,Hyundai Grand i10,2014,400000,60000,Petrol,Individual,Manual,Second Owner,19,18.9 kmpl,1197,82,114Nm@ 4000rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2014,487000,35000,Petrol,Individual,Manual,First Owner,19,19.1 kmpl,1197,86,114Nm@ 4000rpm,5
Hyundai,Xcent,Hyundai Xcent,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19,19.1 kmpl,1197,82,114Nm@ 4000rpm,5
Toyota,Corolla Altis,Toyota Corolla Altis,2010,300000,60000,Diesel,Individual,Manual,First Owner,21,21.43 kmpl,1364,87,205Nm@ 1800-2800rpm,5
Toyota,Fortuner,Toyota Fortuner,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,13,13.0 kmpl,2982,169,343Nm@ 1400-3400rpm,7
Mahindra,KUV 100,Mahindra KUV 100,2016,450000,15000,Petrol,Individual,Manual,Second Owner,18,18.15 kmpl,1198,82,115Nm@ 3500-3600rpm,6
Tata,Zest,Tata Zest,2017,490000,90000,Diesel,Individual,Manual,First Owner,23,22.95 kmpl,1248,74,190Nm@ 1750-3000rpm,5
Honda,City,Honda City,2009,345000,47000,Petrol,Individual,Manual,Second Owner,17,17.0 kmpl,1497,118,146Nm at 4800 rpm,5
Maruti,Wagon R,Maruti Wagon R,2010,215000,120600,Petrol,Individual,Manual,Second Owner,19,18.9 kmpl,998,67,90Nm@ 3500rpm,5
Hyundai,Verna,Hyundai Verna,2010,320000,100000,Petrol,Individual,Manual,Third Owner,16,16.2 kmpl,1599,103,14.9 KGM at 3000 RPM,5
Maruti,Swift Dzire,Maruti Swift Dzire,2016,459999,60000,Petrol,Individual,Manual,Second Owner,21,20.85 kmpl,1197,83,115Nm@ 4000rpm,5
Hyundai,Elite i20,Hyundai Elite i20,2020,720000,5000,Petrol,Individual,Manual,First Owner,19,18.6 kmpl,1197,82,117nm@ 4000rpm,5
Maruti,Ciaz,Maruti Ciaz,2017,800000,37000,Diesel,Individual,Manual,First Owner,28,28.09 kmpl,1248,89,200Nm@ 1750rpm,5
Tata,Tigor,Tata Tigor,2019,520000,14000,Petrol,Individual,Manual,First Owner,20,20.3 kmpl,1199,84,114Nm@ 3500rpm,5
Maruti,Ertiga,Maruti Ertiga,2015,580000,70000,Diesel,Individual,Manual,First Owner,21,20.77 kmpl,1248,89,200Nm@ 1750rpm,7
Honda,City,Honda City,2015,600000,50000,Petrol,Individual,Manual,First Owner,17,17.4 kmpl,1497,117,145Nm@ 4600rpm,5
Honda,Brio,Honda Brio,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19,19.4 kmpl,1198,87,109Nm@ 4500rpm,5
Maruti,Wagon R,Maruti Wagon R,2016,360000,50000,CNG,Individual,Manual,First Owner,27,26.6 kmpl,998,58,77Nm@ 3500rpm,5
Maruti,Swift Dzire,Maruti Swift Dzire,2017,550000,50000,Petrol,Individual,Manual,First Owner,21,20.85 kmpl,1197,83,115Nm@ 4000rpm,5
Hyundai,i20 Sportz,Hyundai i20 Sportz,2013,375000,70000,Petrol,Individual,Manual,First Owner,19,18.5 kmpl,1197,83,113.7Nm@ 4000rpm,5
