name,manufacturer,model,year,km_driven,fuel,transmission,owner,mileage_int,cmp,selling_price
Jeep Compass,Jeep,Compass,2019,5000,Petrol,Automatic,First Owner,16,295900,2100000
Honda City,Honda,City,2018,28900,Petrol,Manual,First Owner,18,113800,925000
Honda City,Honda,City,2013,86300,Petrol,Manual,First Owner,17,113800,425000
Maruti Swift Dzire,Maruti,Swift Dzire,2018,23300,Petrol,Automatic,First Owner,19,690000,675000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2018,32600,Diesel,Manual,First Owner,24,784000,819999
Maruti Alto 800,Maruti,Alto 800,2018,10300,Petrol,Manual,First Owner,24,503000,390000
Toyota Fortuner,Toyota,Fortuner,2014,77000,Diesel,Manual,First Owner,13,541000,1500000
Toyota Innova,Toyota,Innova,2013,99000,Diesel,Manual,First Owner,13,186300,700000
Mercedes-Benz B Class,Mercedes-Benz,B Class,2014,27800,Diesel,Automatic,Second Owner,15,329700,1450000
Honda Amaze,Honda,Amaze,2015,49800,Diesel,Manual,First Owner,25,634000,425000
Honda City,Honda,City,2015,54700,Diesel,Manual,First Owner,26,113800,600000
Maruti Ciaz,Maruti,Ciaz,2018,64000,Petrol,Manual,First Owner,21,887000,850000
Honda Jazz,Honda,Jazz,2015,63000,Diesel,Manual,First Owner,27,796000,525000
Toyota Innova Crysta,Toyota,Innova Crysta,2016,127700,Diesel,Automatic,Second Owner,11,178600,1650000
Toyota Innova,Toyota,Innova,2016,99000,Diesel,Manual,First Owner,13,186300,950000
Audi A6,Audi,A6,2013,33900,Diesel,Automatic,Second Owner,18,599900,1750000
Toyota Corolla Altis,Toyota,Corolla Altis,2018,25000,Petrol,Automatic,First Owner,14,203600,1590000
Audi A6,Audi,A6,2013,50000,Diesel,Automatic,First Owner,19,599900,1689999
Mercedes-Benz New C-Class,Mercedes-Benz,New C-Class,2013,59000,Diesel,Automatic,First Owner,15,501000,1425000
Tata Manza,Tata,Manza,2011,120000,Diesel,Manual,First Owner,21,768000,265000
Hyundai i10,Hyundai,i10,2011,110000,Petrol,Manual,Third Owner,20,707000,190000
Hyundai i20 Asta,Hyundai,i20 Asta,2013,60000,Diesel,Manual,First Owner,21,875000,425000
Maruti Swift Dzire,Maruti,Swift Dzire,2015,147000,Diesel,Manual,Second Owner,27,690000,630000
Ford Figo,Ford,Figo,2017,25000,Petrol,Manual,Third Owner,18,690000,600000
Maruti Beno,Maruti,Beno,2019,30000,Petrol,Manual,First Owner,21,949000,650000
Volkswagen Ameo,Volkswagen,Ameo,2016,40000,Diesel,Manual,First Owner,22,567000,540000
Honda City,Honda,City,2015,135000,Diesel,Manual,First Owner,25,113800,630000
Maruti Wagon R,Maruti,Wagon R,2018,30000,Petrol,Automatic,First Owner,21,690000,448000
Volkswagen Ameo,Volkswagen,Ameo,2017,80000,Diesel,Manual,First Owner,22,567000,500000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2016,70000,Diesel,Manual,First Owner,24,784000,745000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2019,9850,Diesel,Automatic,First Owner,24,784000,1025000
Hyundai i10,Hyundai,i10,2011,60000,Petrol,Manual,Second Owner,20,707000,235000
Maruti Swift,Maruti,Swift,2016,70000,Diesel,Manual,First Owner,25,591000,630000
Toyota Fortuner,Toyota,Fortuner,2015,78000,Diesel,Manual,Second Owner,13,541000,1700000
Maruti Swift,Maruti,Swift,2013,120000,Diesel,Manual,Second Owner,23,591000,450000
Maruti Ertiga,Maruti,Ertiga,2012,120000,Petrol,Manual,Second Owner,16,969000,450000
Volkswagen Vento,Volkswagen,Vento,2013,170000,Diesel,Manual,First Owner,21,116600,450000
Toyota Innova,Toyota,Innova,2016,140000,Diesel,Manual,First Owner,13,186300,1200000
Ford EcoSport,Ford,EcoSport,2015,90000,Diesel,Manual,First Owner,23,961000,610000
BMW X1,BMW,X1,2016,30000,Petrol,Automatic,Second Owner,16,496100,2500000
Maruti Celerio,Maruti,Celerio,2017,10000,Petrol,Manual,First Owner,23,515000,484999
Datsun GO,Datsun,GO,2016,49000,Petrol,Manual,First Owner,19,412000,275000
Maruti Alto 800,Maruti,Alto 800,2016,32000,Petrol,Manual,First Owner,25,503000,315000
Maruti Alto 800,Maruti,Alto 800,2016,38000,Petrol,Manual,First Owner,25,503000,275000
Hyundai i10,Hyundai,i10,2012,28000,Petrol,Manual,First Owner,20,707000,290000
Maruti Omni,Maruti,Omni,2017,32000,Petrol,Manual,First Owner,14,261000,280000
Maruti Wagon R,Maruti,Wagon R,2010,44000,CNG,Manual,First Owner,26,690000,225000
Volkswagen Polo,Volkswagen,Polo,2015,42000,Petrol,Manual,First Owner,16,645000,455000
Hyundai i10,Hyundai,i10,2015,45000,Petrol,Manual,Second Owner,20,707000,351000
Volkswagen Vento,Volkswagen,Vento,2012,12000,Petrol,Manual,Second Owner,15,116600,535000
Maruti Zen Estilo,Maruti,Zen Estilo,2009,55500,Petrol,Manual,First Owner,18,481000,175000
Hyundai i20 Asta,Hyundai,i20 Asta,2013,61500,Petrol,Manual,First Owner,19,875000,525000
Maruti Swift Dzire,Maruti,Swift Dzire,2016,150000,Diesel,Manual,First Owner,27,690000,600000
Hyundai Xcent,Hyundai,Xcent,2016,72000,Petrol,Automatic,First Owner,19,685000,565000
Hyundai i20,Hyundai,i20,2017,110000,Diesel,Manual,First Owner,23,698000,725000
Maruti Wagon R,Maruti,Wagon R,2009,77000,Petrol,Manual,Second Owner,22,690000,185000
Tata Manza,Tata,Manza,2010,100000,Diesel,Manual,Second Owner,19,768000,200000
Maruti Swift,Maruti,Swift,2019,10000,Petrol,Manual,First Owner,21,591000,615000
Maruti Eeco,Maruti,Eeco,2016,100000,Petrol,Manual,Third Owner,15,535000,270000
Maruti Beno,Maruti,Beno,2018,35000,Petrol,Manual,First Owner,21,949000,610000
Mahindra Scorpio,Mahindra,Scorpio,2014,70000,Diesel,Automatic,Second Owner,12,133000,625000
Ford Freestyle,Ford,Freestyle,2020,5000,Petrol,Manual,Second Owner,19,728000,400000
Hyundai Verna,Hyundai,Verna,2017,37800,Petrol,Manual,First Owner,17,932000,866000
Tata Indica Vista,Tata,Indica Vista,2010,48000,Petrol,Manual,First Owner,16,611000,300000
Mahindra XUV 500,Mahindra,XUV 500,2019,32000,Diesel,Manual,First Owner,15,149500,1700000
Tata Indigo,Tata,Indigo,2016,100000,Diesel,Manual,First Owner,19,566000,375000
Hyundai Verna,Hyundai,Verna,2013,150000,Diesel,Manual,Second Owner,22,932000,522000
Hyundai i20 Magna,Hyundai,i20 Magna,2013,69000,Diesel,Manual,First Owner,22,698000,451999
Toyota Corolla Altis,Toyota,Corolla Altis,2009,100000,Petrol,Manual,Second Owner,15,203600,300000
Maruti Celerio,Maruti,Celerio,2020,13000,Petrol,Manual,First Owner,22,515000,475000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2016,60000,Diesel,Manual,First Owner,24,784000,780000
Maruti Swift Dzire,Maruti,Swift Dzire,2017,40000,Petrol,Manual,First Owner,21,690000,595000
Maruti Wagon R,Maruti,Wagon R,2017,35000,Petrol,Manual,First Owner,21,690000,440000
Nissan Terrano,Nissan,Terrano,2014,70000,Diesel,Manual,Third Owner,20,122400,400000
Hyundai Creta,Hyundai,Creta,2016,50000,Diesel,Manual,First Owner,20,102800,1140000
Ford EcoSport,Ford,EcoSport,2017,76139,Diesel,Manual,First Owner,23,961000,850000
Maruti Swift Dzire,Maruti,Swift Dzire,2012,175000,Diesel,Manual,Fourth & Above Owner,19,690000,370000
Renault KWID,Renault,KWID,2018,25000,Petrol,Manual,First Owner,23,449000,350000
Maruti Celerio,Maruti,Celerio,2015,40000,Petrol,Manual,Second Owner,23,515000,360000
Maruti Ertiga,Maruti,Ertiga,2013,90000,Diesel,Manual,Second Owner,21,969000,625000
Hyundai Santro Xing,Hyundai,Santro Xing,2009,80000,Petrol,Manual,Second Owner,18,447000,135000
Maruti Ertiga,Maruti,Ertiga,2015,110000,Diesel,Manual,Second Owner,21,969000,700000
Honda Amaze,Honda,Amaze,2019,1303,Petrol,Manual,First Owner,18,634000,690000
Audi Q5,Audi,Q5,2018,31800,Diesel,Automatic,First Owner,17,713400,3975000
Jaguar XF,Jaguar,XF,2017,45000,Diesel,Automatic,First Owner,19,716000,3200000
Mercedes-Benz S-Class,Mercedes-Benz,S-Class,2017,37000,Diesel,Automatic,First Owner,14,15800000,6000000
BMW 5 Series,BMW,5 Series,2018,29500,Diesel,Automatic,First Owner,22,645000,3790000
BMW X4 M Sport X xDrive20d,BMW,X4 M Sport X xDrive20d,2019,7500,Diesel,Automatic,First Owner,17,624000,5800000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,2016,35000,Diesel,Automatic,First Owner,15,988700,2700000
Honda City,Honda,City,2017,41000,Petrol,Automatic,First Owner,18,113800,795000
Toyota Corolla Altis,Toyota,Corolla Altis,2013,39000,Petrol,Automatic,First Owner,14,203600,625000
Volvo XC40 D4,Volvo,XC40 D4,2018,22000,Diesel,Automatic,First Owner,18,429000,3400000
Audi Q7,Audi,Q7,2015,53000,Diesel,Automatic,First Owner,12,982800,2650000
Maruti Ciaz,Maruti,Ciaz,2015,40000,Diesel,Manual,First Owner,26,887000,535000
Mercedes-Benz S-Class,Mercedes-Benz,S-Class,2017,47000,Diesel,Automatic,First Owner,14,15800000,5850000
BMW 5 Series,BMW,5 Series,2010,72200,Petrol,Automatic,Second Owner,11,645000,975000
Jaguar XF,Jaguar,XF,2017,9000,Diesel,Automatic,First Owner,14,716000,2625000
Tata Nexon Revotron,Tata,Nexon Revotron,2018,11000,Petrol,Manual,First Owner,17,1061323,811000
Volkswagen Vento,Volkswagen,Vento,2011,49000,Petrol,Manual,First Owner,15,116600,375000
Skoda Rapid,Skoda,Rapid,2016,11000,Petrol,Automatic,First Owner,14,156000,645000
Maruti Ertiga,Maruti,Ertiga,2014,46100,Petrol,Manual,First Owner,16,969000,599000
Mercedes-Benz New C-Class,Mercedes-Benz,New C-Class,2017,16000,Petrol,Automatic,First Owner,15,501000,2700000
Honda City,Honda,City,2017,18000,Petrol,Automatic,First Owner,16,113800,875000
Toyota Glanza,Toyota,Glanza,2019,9654,Petrol,Automatic,First Owner,20,639000,894999
Maruti Alto 800,Maruti,Alto 800,2011,11000,Petrol,Manual,First Owner,24,503000,175000
Maruti Swift,Maruti,Swift,2012,24300,Petrol,Manual,First Owner,21,591000,340000
Toyota Innova Crysta,Toyota,Innova Crysta,2016,42163,Diesel,Automatic,Second Owner,11,178600,1525000
Tata Nexon Revotron,Tata,Nexon Revotron,2018,8000,Diesel,Automatic,First Owner,22,1061323,1025000
BMW 3,BMW,3,2016,30000,Diesel,Automatic,First Owner,23,559900,2150000
Toyota Camry Hybrid,Toyota,Camry Hybrid,2016,41000,Petrol,Automatic,First Owner,19,514800,1900000
BMW 5 Series,BMW,5 Series,2016,12000,Diesel,Automatic,First Owner,18,645000,2900000
Toyota Camry Hybrid,Toyota,Camry Hybrid,2009,71000,Petrol,Automatic,First Owner,12,514800,450000
Maruti Ertiga,Maruti,Ertiga,2016,20000,Petrol,Manual,First Owner,18,969000,850000
Volkswagen Vento,Volkswagen,Vento,2011,100000,Diesel,Manual,Second Owner,21,116600,300000
Ford Figo,Ford,Figo,2018,9500,Petrol,Manual,First Owner,18,690000,575000
Ford Figo,Ford,Figo,2011,120000,Diesel,Manual,First Owner,20,690000,160000
Maruti Swift,Maruti,Swift,2015,36600,Petrol,Manual,First Owner,20,591000,515000
Maruti Wagon R,Maruti,Wagon R,2015,50000,Petrol,Automatic,Second Owner,21,690000,390000
Hyundai i20 Magna,Hyundai,i20 Magna,2016,14000,Petrol,Manual,Second Owner,19,698000,550000
Maruti Ritz,Maruti,Ritz,2010,120000,Diesel,Manual,First Owner,21,525000,220000
Hyundai Grand i10,Hyundai,Grand i10,2015,70000,Petrol,Manual,First Owner,19,707000,425000
Volkswagen Ameo,Volkswagen,Ameo,2019,13000,Petrol,Manual,First Owner,19,567000,480000
Hyundai Grand i10,Hyundai,Grand i10,2014,60000,Petrol,Manual,Second Owner,19,707000,400000
Maruti Swift Dzire,Maruti,Swift Dzire,2014,35000,Petrol,Manual,First Owner,19,690000,487000
Hyundai Xcent,Hyundai,Xcent,2016,44000,Petrol,Manual,Second Owner,19,685000,386000
Toyota Corolla Altis,Toyota,Corolla Altis,2010,60000,Diesel,Manual,First Owner,21,203600,300000
Toyota Fortuner,Toyota,Fortuner,2014,30000,Diesel,Manual,Second Owner,13,541000,1750000
Mahindra KUV 100,Mahindra,KUV 100,2016,15000,Petrol,Manual,Second Owner,18,615000,450000
Tata Zest,Tata,Zest,2017,90000,Diesel,Manual,First Owner,23,877000,490000
Honda City,Honda,City,2009,47000,Petrol,Manual,Second Owner,17,113800,345000
Maruti Wagon R,Maruti,Wagon R,2010,120600,Petrol,Manual,Second Owner,19,690000,215000
Hyundai Verna,Hyundai,Verna,2010,100000,Petrol,Manual,Third Owner,16,932000,320000
Maruti Swift Dzire,Maruti,Swift Dzire,2016,60000,Petrol,Manual,Second Owner,21,690000,459999
Hyundai Elite i20,Hyundai,Elite i20,2020,5000,Petrol,Manual,First Owner,19,658000,720000
Maruti Ciaz,Maruti,Ciaz,2017,37000,Diesel,Manual,First Owner,28,887000,800000
Tata Tigor,Tata,Tigor,2019,14000,Petrol,Manual,First Owner,20,582000,520000
Maruti Ertiga,Maruti,Ertiga,2015,70000,Diesel,Manual,First Owner,21,969000,580000
Honda City,Honda,City,2015,50000,Petrol,Manual,First Owner,17,113800,600000
Honda Brio,Honda,Brio,2014,60000,Petrol,Manual,Second Owner,19,566000,290000
Maruti Wagon R,Maruti,Wagon R,2016,50000,CNG,Manual,First Owner,27,690000,360000
Maruti Swift Dzire,Maruti,Swift Dzire,2017,50000,Petrol,Manual,First Owner,21,690000,550000
Hyundai i20 Sportz,Hyundai,i20 Sportz,2013,70000,Petrol,Manual,First Owner,19,780000,375000
Maruti Wagon R,Maruti,Wagon R,2018,35000,Petrol,Automatic,First Owner,21,690000,420000
Maruti Swift Dzire,Maruti,Swift Dzire,2017,20000,Petrol,Manual,First Owner,21,690000,550000
Maruti Alto 800,Maruti,Alto 800,2018,20000,Petrol,Manual,First Owner,25,503000,270000
Maruti Swift Dzire,Maruti,Swift Dzire,2018,7800,Petrol,Automatic,First Owner,22,690000,700000
Maruti Swift,Maruti,Swift,2017,20000,Petrol,Manual,First Owner,20,591000,500000
Tata Hexa,Tata,Hexa,2019,15000,Diesel,Manual,First Owner,18,136900,1250000
Hyundai i20 Magna,Hyundai,i20 Magna,2013,31377,Petrol,Manual,Second Owner,19,698000,320000
Maruti Swift Dzire,Maruti,Swift Dzire,2018,50000,Diesel,Manual,First Owner,28,690000,700000
Maruti Wagon R,Maruti,Wagon R,2015,60000,Petrol,Manual,First Owner,21,690000,290000
Toyota Corolla Altis,Toyota,Corolla Altis,2012,100000,Petrol,Automatic,First Owner,15,203600,550000
Honda Brio,Honda,Brio,2012,60000,Petrol,Manual,First Owner,19,566000,265000
Maruti Beno,Maruti,Beno,2018,5000,Petrol,Automatic,First Owner,21,949000,830000
Tata Safari,Tata,Safari,2017,60000,Diesel,Manual,First Owner,14,152000,800000
Maruti Alto 800,Maruti,Alto 800,2011,25000,Petrol,Manual,Second Owner,20,503000,160000
Renault KWID,Renault,KWID,2018,30000,Petrol,Manual,First Owner,25,449000,335000
Datsun GO,Datsun,GO,2017,80000,Petrol,Manual,Second Owner,21,412000,329000
Maruti Vitara Brezza,Maruti,Vitara Brezza,2017,75000,Diesel,Manual,First Owner,24,784000,775000
Hyundai Xcent,Hyundai,Xcent,2020,32000,Petrol,Manual,First Owner,20,685000,524000
Maruti Alto 800,Maruti,Alto 800,2015,40000,Petrol,Manual,First Owner,23,503000,245000
Hyundai i20,Hyundai,i20,2012,93000,Petrol,Manual,Second Owner,17,698000,275000
Tata Zest,Tata,Zest,2018,60000,Petrol,Manual,First Owner,18,877000,520000
Nissan Sunny,Nissan,Sunny,2014,37000,Petrol,Manual,First Owner,17,829000,550000
Ford EcoSport,Ford,EcoSport,2018,15000,Petrol,Manual,First Owner,17,961000,910000
Nissan Micra,Nissan,Micra,2015,80000,Petrol,Manual,First Owner,19,778000,300000
Maruti Wagon R,Maruti,Wagon R,2016,140000,Petrol,Manual,First Owner,21,690000,350000
Maruti Ritz,Maruti,Ritz,2010,110000,Diesel,Manual,Second Owner,21,525000,250000
Hyundai Creta,Hyundai,Creta,2017,37000,Diesel,Manual,First Owner,20,102800,1100000
Renault KWID,Renault,KWID,2016,44000,Petrol,Manual,First Owner,25,449000,270000
Maruti Ertiga,Maruti,Ertiga,2015,80000,Diesel,Manual,First Owner,21,969000,640000
Mahindra XUV 500,Mahindra,XUV 500,2015,125000,Diesel,Manual,First Owner,15,149500,650000
Maruti Eeco,Maruti,Eeco,2017,13500,Petrol,Manual,First Owner,15,535000,409999
Hyundai Santro Xing,Hyundai,Santro Xing,2011,75000,Petrol,Manual,First Owner,18,447000,165000
Mahindra XUV 500,Mahindra,XUV 500,2012,120000,Diesel,Manual,First Owner,15,149500,535000
Toyota Innova,Toyota,Innova,2013,70000,Diesel,Manual,First Owner,13,186300,700000
Maruti Swift Dzire,Maruti,Swift Dzire,2013,70000,Diesel,Manual,First Owner,23,690000,550000
Honda Amaze,Honda,Amaze,2019,15000,Petrol,Automatic,First Owner,19,634000,680000
Hyundai i10,Hyundai,i10,2009,53000,Petrol,Manual,Second Owner,20,707000,200000
Maruti Swift Dzire,Maruti,Swift Dzire,2014,120000,Diesel,Manual,Second Owner,23,690000,500000
Maruti Ertiga,Maruti,Ertiga,2016,70000,Diesel,Manual,First Owner,25,969000,1000000
Hyundai i20,Hyundai,i20,2012,100000,Petrol,Manual,Second Owner,19,698000,320000
Maruti Swift,Maruti,Swift,2015,100000,Petrol,Manual,First Owner,20,591000,350000
Tata Indica Vista,Tata,Indica Vista,2013,162500,Diesel,Manual,First Owner,19,611000,170000
Hyundai i20,Hyundai,i20,2017,39000,Diesel,Manual,First Owner,23,698000,800000
Maruti Ignis,Maruti,Ignis,2017,75000,Diesel,Manual,First Owner,27,525000,500000
Tata Hexa,Tata,Hexa,2017,50000,Diesel,Automatic,First Owner,18,136900,1380000
Hyundai Verna,Hyundai,Verna,2013,92500,Diesel,Manual,First Owner,22,932000,530000
Maruti Swift Dzire,Maruti,Swift Dzire,2012,158000,Diesel,Manual,First Owner,23,690000,360000
Maruti Swift Dzire,Maruti,Swift Dzire,2012,120000,Diesel,Manual,First Owner,19,690000,310000
Honda City,Honda,City,2015,50000,Diesel,Manual,Second Owner,26,113800,725000
Maruti Swift Dzire,Maruti,Swift Dzire,2012,110000,Diesel,Manual,First Owner,19,690000,340000
Hyundai Xcent,Hyundai,Xcent,2017,2000,Diesel,Manual,Second Owner,25,685000,550000
Toyota Fortuner,Toyota,Fortuner,2011,181000,Diesel,Manual,Second Owner,12,541000,1150000
Tata Tiago Revotorq,Tata,Tiago Revotorq,2016,70000,Diesel,Manual,First Owner,27,693000,380000
Nissan Sunny,Nissan,Sunny,2013,90000,Petrol,Automatic,Second Owner,18,829000,350000
Hyundai Elite i20,Hyundai,Elite i20,2019,2000,Petrol,Manual,First Owner,19,658000,610000
Maruti Swift Dzire,Maruti,Swift Dzire,2015,20000,Petrol,Manual,First Owner,21,690000,525000
Toyota Innova,Toyota,Innova,2011,120000,Diesel,Manual,First Owner,13,186300,480000
Mahindra Thar,Mahindra,Thar,2017,35000,Diesel,Manual,First Owner,17,131700,780000
Maruti Swift Dzire,Maruti,Swift Dzire,2012,193000,Diesel,Manual,First Owner,19,690000,320000
Maruti Swift,Maruti,Swift,2014,80000,Petrol,Manual,First Owner,20,591000,375000
Datsun GO,Datsun,GO,2019,40000,Petrol,Manual,First Owner,19,412000,300000
Hyundai i20 Asta,Hyundai,i20 Asta,2015,70000,Diesel,Manual,Fourth & Above Owner,23,875000,500000
Mahindra Scorpio,Mahindra,Scorpio,2011,122358,Diesel,Manual,First Owner,12,133000,404000
Tata Sumo,Tata,Sumo,2015,75000,Diesel,Manual,First Owner,14,597000,500000
Tata Tiago Revotorq,Tata,Tiago Revotorq,2017,120000,Diesel,Manual,First Owner,27,693000,350000
Tata Zest,Tata,Zest,2015,40000,Petrol,Manual,First Owner,18,877000,380000
Honda Brio,Honda,Brio,2014,33033,Petrol,Manual,First Owner,19,566000,335000
Hyundai Grand i10,Hyundai,Grand i10,2015,63063,Petrol,Automatic,First Owner,19,707000,465000
Tata Manza,Tata,Manza,2012,60000,Diesel,Manual,First Owner,21,768000,290000
Tata New Safari DICOR,Tata,New Safari DICOR,2011,80000,Diesel,Manual,Third Owner,12,993000,450000
Mahindra Bolero,Mahindra,Bolero,2009,170000,Diesel,Manual,Second Owner,14,920000,400000
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,2018,7976,Diesel,Automatic,First Owner,18,481000,4600000
Maruti Omni,Maruti,Omni,2016,35000,Petrol,Manual,First Owner,17,261000,220000
Hyundai Grand i10,Hyundai,Grand i10,2017,35000,Petrol,Manual,First Owner,19,707000,450000
Hyundai Grand i10,Hyundai,Grand i10,2017,35000,Petrol,Manual,First Owner,19,707000,450000
Hyundai i10,Hyundai,i10,2013,50000,Petrol,Automatic,First Owner,17,707000,290000
Maruti Swift,Maruti,Swift,2016,20000,Petrol,Manual,First Owner,20,591000,520000
Hyundai i10,Hyundai,i10,2011,20000,Petrol,Automatic,First Owner,17,707000,265000
Maruti Swift,Maruti,Swift,2012,50000,Petrol,Manual,Second Owner,19,591000,330000
Maruti Swift,Maruti,Swift,2012,50000,Petrol,Manual,Second Owner,19,591000,330000
Mahindra Bolero,Mahindra,Bolero,2014,120000,Diesel,Manual,First Owner,16,920000,509999
Hyundai Verna,Hyundai,Verna,2014,70000,Petrol,Manual,First Owner,17,932000,500000
Hyundai i20 Active,Hyundai,i20 Active,2015,50000,Petrol,Manual,First Owner,17,713000,525000
Maruti Beno,Maruti,Beno,2019,16500,Petrol,Manual,First Owner,21,949000,675000
Hyundai i20,Hyundai,i20,2010,70000,Petrol,Manual,First Owner,17,698000,300000
Maruti Swift Dzire,Maruti,Swift Dzire,2017,25000,Diesel,Manual,First Owner,27,690000,650000
Maruti Swift Dzire,Maruti,Swift Dzire,2014,70000,Petrol,Manual,Second Owner,19,690000,409000
Hyundai Grand i10,Hyundai,Grand i10,2015,80000,Diesel,Manual,Second Owner,24,707000,395000
Maruti Swift Dzire,Maruti,Swift Dzire,2014,70000,Petrol,Manual,Second Owner,19,690000,400000
Chevrolet Beat,Chevrolet,Beat,2012,60000,Petrol,Manual,Third Owner,19,396000,120000
Tata Tigor,Tata,Tigor,2018,10000,Petrol,Automatic,First Owner,20,582000,645000
Honda City,Honda,City,2017,30000,Diesel,Manual,First Owner,26,113800,1300000
Honda City,Honda,City,2017,33000,Diesel,Manual,First Owner,26,113800,1250000
Maruti Ertiga,Maruti,Ertiga,2013,90000,Petrol,Manual,Third Owner,16,969000,535000
Nissan Terrano,Nissan,Terrano,2014,80100,Diesel,Manual,Second Owner,19,122400,555000
Honda City,Honda,City,2014,120000,Petrol,Manual,First Owner,17,113800,725000
Renault KWID,Renault,KWID,2016,40000,Petrol,Manual,First Owner,25,449000,229999
Toyota Innova,Toyota,Innova,2013,160000,Diesel,Manual,Second Owner,13,186300,800000
Maruti Wagon R,Maruti,Wagon R,2017,47000,Petrol,Manual,First Owner,21,690000,409999
Hyundai Creta,Hyundai,Creta,2018,25000,Diesel,Manual,First Owner,21,102800,1210000
Tata Tiago Revotorq,Tata,Tiago Revotorq,2017,26000,Petrol,Manual,First Owner,24,693000,400000
Hyundai Grand i10,Hyundai,Grand i10,2018,29000,Diesel,Manual,First Owner,24,707000,520000
Maruti Beno,Maruti,Beno,2016,50000,Petrol,Automatic,First Owner,21,949000,650000
Maruti Swift,Maruti,Swift,2011,58000,Petrol,Manual,Third Owner,16,591000,325000
Maruti Swift Dzire,Maruti,Swift Dzire,2012,120000,Petrol,Automatic,First Owner,17,690000,420000
Maruti Swift,Maruti,Swift,2014,50000,Petrol,Manual,First Owner,20,591000,400000
Hyundai i20,Hyundai,i20,2010,80000,Petrol,Manual,Fourth & Above Owner,17,698000,254999
Maruti Celerio,Maruti,Celerio,2017,36000,Petrol,Manual,First Owner,23,515000,351000
Maruti Ritz,Maruti,Ritz,2011,185000,Diesel,Manual,Third Owner,21,525000,185000
Nissan Micra,Nissan,Micra,2011,50000,Diesel,Manual,First Owner,23,778000,250000
Hyundai Verna,Hyundai,Verna,2013,50000,Petrol,Manual,Second Owner,17,932000,500000
